Urdu Word,English Translation,Description,Tokenized Urdu Word,Character Length,Level
تاریک,darkish,slightly dark,ت ا ر ی ک,5,Medium
مسیحی,christianly,becoming to or like a Christian,م س ی ح ی,5,Medium
مقبول,popular,(of music or art) new and of general appeal (especially among young people),م ق ب و ل,5,Medium
محدود,restricted,the lowest level of official classification for documents,م ح د و د,5,Medium
دھویا,washed,clean by virtue of having been washed in water,د ھ و ی ا,5,Medium
دھواں,smudgy,smeared with something that soils or stains; these words are often used in combination; ; - Henry Roth,د ھ و ا ں,5,Medium
ناپاک,unclean,having a physical or moral blemish so as to make impure according to dietary or ceremonial laws; ; -Leviticus 11,ن ا پ ا ک,5,Medium
اچھوت,untouchable,( especially used in traditional Hindu belief of the lowest caste or castes) defiling,ا چ ھ و ت,5,Medium
لنگڑا,limpid,(of language) transparently clear; easily understandable; ; ; - Robert Burton,ل ن گ ڑ ا,5,Medium
کمزور,weak,deficient in intelligence or mental power,ک م ز و ر,5,Medium
یونڈر,yonder,distant but within sight (`yon' is dialectal),ی و ن ڈ ر,5,Medium
متضاد,contiguous,very close or connected in space or time,م ت ض ا د,5,Medium
لفافہ,enveloping,surrounding and closing in on or hemming in,ل ف ا ف ہ,5,Medium
نیسلے,nestled,drawn or pressed close to someone or something for or as if for affection or protection,ن ی س ل ے,5,Medium
پیارے,dear,with or in a close or intimate relationship,پ ی ا ر ے,5,Medium
مناسب,suited,outfitted or supplied with clothing,م ن ا س ب,5,Medium
سیمین,seminude,partially clothed,س ی م ی ن,5,Medium
مضبوط,starkers,(British informal) stark naked,م ض ب و ط,5,Medium
کاٹھی,saddled,having a saddle on or being mounted on a saddled animal,ک ا ٹ ھ ی,5,Medium
بھاری,heavy,darkened by clouds,ب ھ ا ر ی,5,Medium
ساحلی,coastal,located on or near or bordering on a coast,س ا ح ل ی,5,Medium
داخلہ,interior,of or coming from the middle of a region or country,د ا خ ل ہ,5,Medium
ہموار,seamless,perfectly consistent and coherent,ہ م و ا ر,5,Medium
تقسیم,distributive,serving to distribute or allot or disperse,ت ق س ی م,5,Medium
مختلف,diffusing,spreading by diffusion,م خ ت ل ف,5,Medium
بے حد,immanent,of qualities that are spread throughout something,ب ے   ح د,5,Medium
مشتہر,advertised,called to public attention,م ش ت ہ ر,5,Medium
اجناس,commodious,large and roomy (`convenient' is archaic in this sense),ا ج ن ا س,5,Medium
تناسب,proportionate,"agreeing in amount, magnitude, or degree",ت ن ا س ب,5,Medium
کمیشن,commissioned,(of military officers) holding by virtue of a commission a rank of second lieutenant or ensign or above,ک م ی ش ن,5,Medium
معیار,standard,commonly used or supplied,م ع ی ا ر,5,Medium
خصوصی,especial,surpassing what is common or usual or expected,خ ص و ص ی,5,Medium
مختلف,different,differing from all others; not ordinary,م خ ت ل ف,5,Medium
اشارے,gestural,being other than verbal communication,ا ش ا ر ے,5,Medium
ڈھیلے,loose,not compact or dense in structure or arrangement,ڈ ھ ی ل ے,5,Medium
لازمی,incomparable,such that comparison is impossible; unsuitable for comparison or lacking features that can be compared,ل ا ز م ی,5,Medium
متضاد,incompatible,not compatible,م ت ض ا د,5,Medium
مخالف,antagonistic,incapable of harmonious association,م خ ا ل ف,5,Medium
تصادم,clashing,sharply and harshly discordant,ت ص ا د م,5,Medium
متضاد,contradictory,unable to be both true at the same time,م ت ض ا د,5,Medium
نااہل,incompetent,not qualified or suited for a purpose,ن ا ا ہ ل,5,Medium
مماثل,matched,provided with a worthy adversary or competitor,م م ا ث ل,5,Medium
شکایت,complaining,expressing pain or dissatisfaction of resentment,ش ک ا ی ت,5,Medium
لازمی,integral,constituting the undiminished entirety; lacking nothing essential especially not damaged; - Bacon,ل ا ز م ی,5,Medium
الکوٹ,aliquot,signifying an exact divisor or factor of a quantity,ا ل ک و ٹ,5,Medium
پرعزم,committed,"bound or obligated, as under a pledge to a particular cause, action, or attitude",پ ر ع ز م,5,Medium
سرشار,dedicated,devoted to a cause or ideal or purpose; ; ; - A.Lincoln,س ر ش ا ر,5,Medium
ہر جا,allover,covering the entire surface,ہ ر   ج ا,5,Medium
دل سے,hearty,without reservation,د ل   س ے,5,Medium
نہ ہی,neither,not either; not one or the other,ن ہ   ہ ی,5,Medium
چھتری,umbrella,covering or applying simultaneously to a number of similar items or elements or groups,چ ھ ت ر ی,5,Medium
محدود,limited,including only a part,م ح د و د,5,Medium
ٹھنڈا,cool,marked by calm self-control (especially in trying circumstances); unemotional,ٹ ھ ن ڈ ا,5,Medium
مرتکز,concentrated,gathered together or made less diffuse,م ر ت ک ز,5,Medium
تقسیم,distributed,spread out or scattered about or divided up,ت ق س ی م,5,Medium
تقسیم,apportioned,given out in portions,ت ق س ی م,5,Medium
منتشر,dispersed,distributed or spread over a considerable extent,م ن ت ش ر,5,Medium
تقسیم,divided,distributed in portions (often equal) on the basis of a plan or purpose,ت ق س ی م,5,Medium
مرتکز,concentric,having a common center,م ر ت ک ز,5,Medium
باہمی,coaxial,having a common axis,ب ا ہ م ی,5,Medium
ابھرتا,emergent,coming into existence,ا ب ھ ر ت ا,6,Medium
ناگوار,dissilient,"bursting open with force, as do some ripe seed vessels",ن ا گ و ا ر,6,Medium
متعلقہ,relative,estimated by comparison; not absolute or complete,م ت ع ل ق ہ,6,Medium
متعلقہ,relational,having a relation or being related,م ت ع ل ق ہ,6,Medium
سپونگی,spongy,like a sponge in being able to absorb liquids and yield it back when compressed,س پ و ن گ ی,6,Medium
اخترشک,repellent,incapable of absorbing or mixing with,ا خ ت ر ش ک,6,Medium
خوش کن,exuberant,produced or growing in extreme abundance,خ و ش   ک ن,6,Medium
بھرپور,plentiful,existing in great number or quantity,ب ھ ر پ و ر,6,Medium
زیادتی,abused,subjected to cruel treatment,ز ی ا د ت ی,6,Medium
بے وفا,unfaithful,not trustworthy,ب ے   و ف ا,6,Medium
بنیادی,basic,of or denoting or of the nature of or containing a base,ب ن ی ا د ی,6,Medium
ناکارہ,unavowed,not openly made known,ن ا ک ا ر ہ,6,Medium
بیہودہ,sedentary,requiring sitting or little activity,ب ی ہ و د ہ,6,Medium
دیر سے,latent,(pathology) not presently active,د ی ر   س ے,6,Medium
پرسکون,quiescent,(pathology) causing no symptoms,پ ر س ک و ن,6,Medium
انحصار,dependent,addicted to a drug,ا ن ح ص ا ر,6,Medium
تکمیلی,complemental,acting as or providing a complement (something that completes the whole),ت ک م ی ل ی,6,Medium
ناکافی,inadequate,lacking the requisite qualities or resources to meet a task,ن ا ک ا ف ی,6,Medium
چمکدار,clinquant,glittering with gold or silver,چ م ک د ا ر,6,Medium
ہوشیار,clever,showing inventiveness and skill,ہ و ش ی ا ر,6,Medium
ناکارہ,inept,revealing lack of perceptiveness or judgment or finesse,ن ا ک ا ر ہ,6,Medium
ایروبک,aerobic,depending on free oxygen or air,ا ی ر و ب ک,6,Medium
مصنوعی,artificial,artificially formal,م ص ن و ع ی,6,Medium
خوفزدہ,afraid,filled with fear or apprehension,خ و ف ز د ہ,6,Medium
پریشان,apprehensive,in fear or dread of possible evil or harm,پ ر ی ش ا ن,6,Medium
خوفزدہ,fearful,experiencing or showing fear,خ و ف ز د ہ,6,Medium
خوفزدہ,frightened,made afraid,خ و ف ز د ہ,6,Medium
خوفزدہ,horrified,stricken with horror,خ و ف ز د ہ,6,Medium
بے چین,shitless,extremely frightened,ب ے   چ ی ن,6,Medium
بے خوف,unafraid,oblivious of dangers or perils or calmly resolute in facing them,ب ے   خ و ف,6,Medium
سکریپی,scrappy,full of fighting spirit,س ک ر ی پ ی,6,Medium
پریشان,distraught,deeply agitated especially from emotion,پ ر ی ش ا ن,6,Medium
انتباہ,alert,engaged in or accustomed to close observation,ا ن ت ب ا ہ,6,Medium
ناکارہ,defunct,having ceased to exist or live,ن ا ک ا ر ہ,6,Medium
گر گیا,fallen,killed in battle,گ ر   گ ی ا,6,Medium
بے جان,lifeless,deprived of life; no longer living,ب ے   ج ا ن,6,Medium
یکجہتی,monosemous,having only one meaning,ی ک ج ہ ت ی,6,Medium
بے لوث,generous,more than adequate,ب ے   ل و ث,6,Medium
معمولی,meager,deficient in amount or quality or extent,م ع م و ل ی,6,Medium
پُرجوش,exiguous,extremely scanty,پ ُ ر ج و ش,6,Medium
پیمائش,measly,contemptibly small in amount,پ ی م ا ئ ش,6,Medium
کٹابٹک,katabatic,of an air current or wind; moving downward or down a slope because of cooling especially at night,ک ٹ ا ب ٹ ک,6,Medium
مصنوعی,synthetic,of a proposition whose truth value is determined by observation or facts,م ص ن و ع ی,6,Medium
غضبناک,wrathful,vehemently incensed and condemnatory,غ ض ب ن ا ک,6,Medium
انجیلی,unangry,not angry,ا ن ج ی ل ی,6,Medium
جذباتی,sentient,endowed with feeling and unstructured consciousness; - T.E.Lawrence,ج ذ ب ا ت ی,6,Medium
بے دخل,unfeeling,devoid of feeling or sensation,ب ے   د خ ل,6,Medium
بے جان,inanimate,not endowed with life,ب ے   ج ا ن,6,Medium
بے ہوش,nonconscious,relating to the lack of consciousness of inanimate things,ب ے   ہ و ش,6,Medium
بے نام,nameless,being or having an unknown or unnamed source,ب ے   ن ا م,6,Medium
تعارفی,introductory,serving as an introduction or preface,ت ع ا ر ف ی,6,Medium
کامیاب,succeeding,coming after or following,ک ا م ی ا ب,6,Medium
کولہوں,posterior,located at or near or behind a part or near the end of a structure,ک و ل ہ و ں,6,Medium
پسپائی,retral,at or near or toward the posterior,پ س پ ا ئ ی,6,Medium
ناجائز,improper,not appropriate for a purpose or occasion,ن ا ج ا ئ ز,6,Medium
اسکیلڈ,scaled,(used of armor) having overlapping metal plates attached to a leather backing,ا س ک ی ل ڈ,6,Medium
خاردار,barbed,having or covered with protective barbs or quills or spines or thorns or setae etc.,خ ا ر د ا ر,6,Medium
بریچیٹ,brachiate,having arms or armlike appendages,ب ر ی چ ی ٹ,6,Medium
شرمندہ,ashamed,feeling shame or guilt or embarrassment or remorse,ش ر م ن د ہ,6,Medium
شرمندہ,embarrassed,made to feel uncomfortable because of shame or wounded pride,ش ر م ن د ہ,6,Medium
بے شرم,unashamed,used of persons or their behavior; feeling no shame,ب ے   ش ر م,6,Medium
بے شرم,shameless,feeling no shame,ب ے   ش ر م,6,Medium
علیحدہ,detached,used of buildings; standing apart from others,ع ل ی ح د ہ,6,Medium
علیحدہ,detachable,designed to be unfastened or disconnected without damage,ع ل ی ح د ہ,6,Medium
ہوشیار,wary,marked by keen caution and watchful prudence,ہ و ش ی ا ر,6,Medium
شرمیلی,shy,wary and distrustful; disposed to avoid persons or things,ش ر م ی ل ی,6,Medium
غنودگی,drowsy,showing lack of attention or boredom,غ ن و د گ ی,6,Medium
فراموش,forgetful,failing to keep in mind,ف ر ا م و ش,6,Medium
پر کشش,attractive,pleasing to the eye or mind especially through beauty or charm,پ ر   ک ش ش,6,Medium
چمقدار,glossy,superficially attractive and stylish; suggesting wealth or expense,چ م ق د ا ر,6,Medium
ناگوار,unattractive,lacking beauty or charm,ن ا گ و ا ر,6,Medium
گھریلو,homely,lacking in physical beauty or proportion,گ ھ ر ی ل و,6,Medium
وابستہ,attributive,of adjectives; placed before the nouns they modify,و ا ب س ت ہ,6,Medium
اچھ .ا,auspicious,auguring favorable circumstances and good luck,ا چ ھ   . ا,6,Medium
متفاوت,heteroecious,of parasites; passing through different stages of the life cycle on different host species,م ت ف ا و ت,6,Medium
خودکار,automatic,operating with minimal human intervention; independent of external control,خ و د ک ا ر,6,Medium
خودکار,automated,operated by automation,خ و د ک ا ر,6,Medium
ہوشیار,smart,capable of independent and apparently intelligent action,ہ و ش ی ا ر,6,Medium
دستیاب,available,obtainable or accessible and ready for use or service,د س ت ی ا ب,6,Medium
بے خبر,unaware,(often followed by `of') not aware,ب ے   خ ب ر,6,Medium
بے ہوش,unconscious,(followed by `of') not knowing or perceiving; - Charles Dickens,ب ے   ہ و ش,6,Medium
خوفناک,awful,causing fear or dread or terror,خ و ف ن ا ک,6,Medium
بے چین,baleful,threatening or foreshadowing evil or tragic developments,ب ے   چ ی ن,6,Medium
بے چین,bashful,disposed to avoid notice; ; (`blate' is a Scottish term for bashful),ب ے   چ ی ن,6,Medium
گلیبرس,glabrous,having no hair or similar growth; smooth,گ ل ی ب ر س,6,Medium
برداشت,bearing,(of a structural member) withstanding a weight or strain,ب ر د ا ش ت,6,Medium
شاندار,exquisite,of extreme beauty,ش ا ن د ا ر,6,Medium
شاندار,glorious,having great beauty and splendor,ش ا ن د ا ر,6,Medium
بدصورت,ugly,displeasing to the senses,ب د ص و ر ت,6,Medium
بدصورت,unsightly,unpleasant to look at,ب د ص و ر ت,6,Medium
بدنامی,malevolent,wishing or appearing to wish evil to others; arising from intense ill will or hatred,ب د ن ا م ی,6,Medium
زہریلا,poisonous,marked by deep ill will; deliberately harmful,ز ہ ر ی ل ا,6,Medium
بہترین,best,(superlative of `good') having the most positive qualities,ب ہ ت ر ی ن,6,Medium
بے چین,unexcelled,not capable of being improved on,ب ے   چ ی ن,6,Medium
بدترین,worst,(superlative of `bad') most wanting in quality or value or condition,ب د ت ر ی ن,6,Medium
خوش کن,ameliorating,tending to ameliorate,خ و ش   ک ن,6,Medium
ترمیمی,amendatory,effecting amendment,ت ر م ی م ی,6,Medium
اصلاحی,corrective,tending or intended to correct or counteract or restore to a normal condition,ا ص ل ا ح ی,6,Medium
یکجہتی,unifacial,having but one principal or specialized surface,ی ک ج ہ ت ی,6,Medium
نمایاں,featured,having facial features as specified; usually used in combination,ن م ا ی ا ں,6,Medium
یکطرفہ,unilateral,involving only one part or side,ی ک ط ر ف ہ,6,Medium
مشترکہ,joint,involving both houses of a legislature,م ش ت ر ک ہ,6,Medium
چھ رخا,six-sided,having six sides,چ ھ   ر خ ا,6,Medium
نو رخا,nine-sided,having nine sides,ن و   ر خ ا,6,Medium
دس رخا,ten-sided,having ten sides,د س   ر خ ا,6,Medium
داغدار,blemished,marred by imperfections,د ا غ د ا ر,6,Medium
بے داغ,unblemished,free from physical or moral spots or stains,ب ے   د ا غ,6,Medium
بے چین,untied,not tied,ب ے   چ ی ن,6,Medium
بورژوا,bourgeois,conforming to the standards and conventions of the middle class,ب و ر ژ و ا,6,Medium
ویلورن,wellborn,of good or upper-class lineage,و ی ل و ر ن,6,Medium
بے چین,gutless,lacking courage or vitality,ب ے   چ ی ن,6,Medium
چاندنی,moonlit,lighted by moonlight,چ ا ن د ن ی,6,Medium
دل چسپ,bridgeable,capable of being connected by a bridge or as if by a bridge,د ل   چ س پ,6,Medium
اینگام,agleam,bright with a steady but subdued shining,ا ی ن گ ا م,6,Medium
شاندار,brilliant,full of light; shining intensely,ش ا ن د ا ر,6,Medium
کم بیم,low-beam,used of headlights,ک م   ب ی م,6,Medium
بوٹونی,botonee,(of a heraldic cross) having a cluster of three buttons or knobs at the end of each arm,ب و ٹ و ن ی,6,Medium
پرسکون,calm,(of weather) free from storm or wind,پ ر س ک و ن,6,Medium
پلیسیڈ,placid,(of a body of water) free from disturbance by heavy waves,پ ل ی س ی ڈ,6,Medium
طوفانی,stormy,(especially of weather) affected or characterized by storms or commotion,ط و ف ا ن ی,6,Medium
اعتماد,confident,not liable to error in judgment or action; - Walter Lippman; - Michiko Kakutani,ا ع ت م ا د,6,Medium
ہوشیار,careful,exercising caution or showing care or attention,ہ و ش ی ا ر,6,Medium
باضمیر,conscientious,characterized by extreme care and great effort,ب ا ض م ی ر,6,Medium
تفصیلی,detailed,developed or executed with care and in minute detail; ; - John Buchan,ت ف ص ی ل ی,6,Medium
حفاظتی,protective,(usually followed by `of') solicitously caring or mindful,ح ف ا ظ ت ی,6,Medium
مطالعہ,studious,marked by care and effort,م ط ا ل ع ہ,6,Medium
لاعلمی,uncarved,not carved,ل ا ع ل م ی,6,Medium
بوبٹیل,bobtail,having a short or shortened tail,ب و ب ٹ ی ل,6,Medium
سخت دم,stiff-tailed,having a stiff tail,س خ ت   د م,6,Medium
سازگار,conducive,tending to bring about; being partly responsible for,س ا ز گ ا ر,6,Medium
مرکزیت,centered,being or placed in the center,م ر ک ز ی ت,6,Medium
سینٹرک,centric,having or situated at or near a center,س ی ن ٹ ر ک,6,Medium
گھیراؤ,encircling,being all around the edges; enclosing,گ ھ ی ر ا ؤ,6,Medium
وابستہ,afferent,of nerves and nerve impulses; conveying sensory information from the sense organs to the CNS,و ا ب س ت ہ,6,Medium
مستحکم,consolidative,tending to consolidate,م س ت ح ک م,6,Medium
شبہ ہے,doubtful,fraught with uncertainty or doubt,ش ب ہ   ہ ے,6,Medium
ہنگامی,contingent,uncertain because of uncontrollable circumstances; - George Eliot,ہ ن گ ا م ی,6,Medium
ناگزیر,inevitable,incapable of being avoided or prevented,ن ا گ ز ی ر,6,Medium
موبائل,mobile,capable of changing quickly from one state or condition to another,م و ب ا ئ ل,6,Medium
تبدیلی,changeless,remaining the same for indefinitely long times,ت ب د ی ل ی,6,Medium
طے شدہ,fixed,incapable of being changed or moved or undone; e.g.,ط ے   ش د ہ,6,Medium
لاعلاج,incurable,unalterable in disposition or habits,ل ا ع ل ا ج,6,Medium
ایڈجسٹ,adjusted,altered to accommodate to certain requirements or bring into a proper relation,ا ی ڈ ج س ٹ,6,Medium
ناگوار,denatured,changed in nature or natural quality,ن ا گ و ا ر,6,Medium
تبادلہ,exchanged,changed for (replaced by) something different,ت ب ا د ل ہ,6,Medium
خصوصیت,characteristic,typical or distinctive,خ ص و ص ی ت,6,Medium
تشخیصی,diagnostic,characteristic or indicative of a disease,ت ش خ ی ص ی,6,Medium
خیراتی,charitable,full of love and generosity,خ ی ر ا ت ی,6,Medium
پاکیزہ,chaste,morally pure (especially not having experienced sexual intercourse),پ ا ک ی ز ہ,6,Medium
انچاسٹ,unchaste,not chaste,ا ن چ ا س ٹ,6,Medium
لائسنس,licentious,lacking moral discipline; especially sexually unrestrained,ل ا ئ س ن س,6,Medium
خوش کن,buoyant,characterized by liveliness and lightheartedness,خ و ش   ک ن,6,Medium
شرمناک,blushful,of blush color,ش ر م ن ا ک,6,Medium
مینجٹا,magenta,of deep purplish red,م ی ن ج ٹ ا,6,Medium
چارکول,charcoal,of a very dark grey,چ ا ر ک و ل,6,Medium
بائکلر,bicolor,having two colors,ب ا ئ ک ل ر,6,Medium
بے رنگ,colorless,weak in color; not colorful,ب ے   ر ن گ,6,Medium
چمکدار,flashy,(used especially of clothes) marked by conspicuous display,چ م ک د ا ر,6,Medium
انسانی,humane,showing evidence of moral and intellectual advancement,ا ن س ا ن ی,6,Medium
بے عیب,immaculate,completely neat and clean,ب ے   ع ی ب,6,Medium
نشاستہ,feculent,foul with waste matter,ن ش ا س ت ہ,6,Medium
اسپاٹڈ,maculate,spotted or blotched,ا س پ ا ٹ ڈ,6,Medium
تابکار,radioactive,exhibiting or caused by radioactivity,ت ا ب ک ا ر,6,Medium
صاف کٹ,clear-cut,clearly or sharply defined to the mind,ص ا ف   ک ٹ,6,Medium
چمکدار,dazzled,stupefied or dizzied by something overpowering; - `Chanticler' by Rostand,چ م ک د ا ر,6,Medium
مراعات,inclement,used of persons or behavior; showing no clemency or mercy,م ر ا ع ا ت,6,Medium
بیوقوف,stupid,lacking or marked by lack of intellectual acuity,ب ی و ق و ف,6,Medium
کھدائی,cloddish,heavy and dull and stupid,ک ھ د ا ئ ی,6,Medium
اندازا,approximate,located close together,ا ن د ا ز ا,6,Medium
تخمینہ,proximate,very close in space or time,ت خ م ی ن ہ,6,Medium
واک ٹو,walk-to,close enough to be walked to,و ا ک   ٹ و,6,Medium
مباشرت,intimate,"marked by close acquaintance, association, or familiarity; ;  - V.L. Parrington",م ب ا ش ر ت,6,Medium
بزلانہ,cowled,having the head enclosed in a cowl or hood,ب ز ل ا ن ہ,6,Medium
متناسب,habited,dressed in a habit,م ت ن ا س ب,6,Medium
پرسکون,serene,completely clear and fine,پ ر س ک و ن,6,Medium
دوربین,telescopic,having parts that slide one within another,د و ر ب ی ن,6,Medium
مجموعی,aggregate,formed of separate units gathered into a mass or whole,م ج م و ع ی,6,Medium
مشترکہ,combinative,marked by or relating to or resulting from combination,م ش ت ر ک ہ,6,Medium
مشترکہ,combinatorial,relating to the combination and arrangement of elements in sets,م ش ت ر ک ہ,6,Medium
مشترکہ,combinable,able to or tending to combine,م ش ت ر ک ہ,6,Medium
مشترکہ,comburent,supporting combustion,م ش ت ر ک ہ,6,Medium
بے چین,uncomfortable,providing or experiencing physical discomfort,ب ے   چ ی ن,6,Medium
بے چین,uneasy,relating to bodily unease that causes discomfort,ب ے   چ ی ن,6,Medium
متناسب,proportionable,proportionate,م ت ن ا س ب,6,Medium
تجارتی,commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,ت ج ا ر ت ی,6,Medium
رہائشی,residential,used or designed for residence or limited to residences,ر ہ ا ئ ش ی,6,Medium
جمہوری,democratic,representing or appealing to or adapted for the benefit of the people at large,ج م ہ و ر ی,6,Medium
انوکھا,unique,highly unusual or rare but not the single instance,ا ن و ک ھ ا,6,Medium
متعلقہ,respective,considered individually,م ت ع ل ق ہ,6,Medium
وضاحتی,narrative,consisting of or characterized by the telling of a story,و ض ا ح ت ی,6,Medium
مستحکم,consolidated,forming a solid mass,م س ت ح ک م,6,Medium
منتقلی,shifting,(of soil) unstable,م ن ت ق ل ی,6,Medium
موازنہ,comparable,able to be compared or worthy of comparison,م و ا ز ن ہ,6,Medium
ہمدردی,compassionate,showing or having compassion,ہ م د ر د ی,6,Medium
سخت دل,hardhearted,devoid of feeling for others,س خ ت   د ل,6,Medium
ڈویژنل,divisional,constituting a division or an aliquot part of the basic monetary unit,ڈ و ی ژ ن ل,6,Medium
نامکمل,incomplete,not complete or total; not completed,ن ا م ک م ل,6,Medium
پریشان,abashed,feeling or caused to feel uneasy and self-conscious,پ ر ی ش ا ن,6,Medium
پریشان,bothered,caused to show discomposure,پ ر ی ش ا ن,6,Medium
بکنکاو,biconcave,concave on both sides,ب ک ن ک ا و,6,Medium
پرستار,fanned,especially spread in a fan shape,پ ر س ت ا ر,6,Medium
فکرمند,concerned,feeling or showing worry or solicitude,ف ک ر م ن د,6,Medium
ابیکسیل,abaxial,facing away from the axis of an organ or organism,ا ب ی ک س ی ل,7,Medium
لامحدود,infinite,total and all-embracing,ل ا م ح د و د,7,Medium
تصوراتی,conceptual,being or characterized by concepts or their formation,ت ص و ر ا ت ی,7,Medium
نظریاتی,ideological,concerned with or suggestive of ideas,ن ظ ر ی ا ت ی,7,Medium
بلے باز,battered,exhibiting symptoms resulting from repeated physical and emotional injury,ب ل ے   ب ا ز,7,Medium
مستثنیٰ,exceptionable,liable to objection or debate; used of something one might take exception to,م س ت ث ن ی ٰ,7,Medium
مردہ آن,dead-on,accurate and to the point; ; - Peter S.Prescott,م ر د ہ   آ ن,7,Medium
تیزابیت,acidic,being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7),ت ی ز ا ب ی ت,7,Medium
الکلائن,alkaline,relating to or containing an alkali; having a pH greater than 7,ا ل ک ل ا ئ ن,7,Medium
امفرٹرک,amphoteric,having characteristics of both an acid and a base and capable of reacting as either,ا م ف ر ٹ ر ک,7,Medium
لوٹ مار,plundering,given to taking by force what is desired,ل و ٹ   م ا ر,7,Medium
بیسپیٹل,basipetal,of leaves or flowers; developing or opening in succession from apex to base,ب ی س پ ی ٹ ل,7,Medium
پھرتیلی,agile,moving quickly and lightly,پ ھ ر ت ی ل ی,7,Medium
ریٹائرڈ,retired,no longer active in your work or profession,ر ی ٹ ا ئ ر ڈ,7,Medium
بند گلی,dead-end,lacking opportunities for development or advancement,ب ن د   گ ل ی,7,Medium
اسٹیٹیو,stative,( used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action,ا س ٹ ی ٹ ی و,7,Medium
وائرلیس,virulent,infectious; having the ability to cause disease,و ا ئ ر ل ی س,7,Medium
بے ہودہ,unaddressed,not addressed,ب ے   ہ و د ہ,7,Medium
پیروکار,adherent,sticking fast,پ ی ر و ک ا ر,7,Medium
ٹھیک ہے,well,wise or advantageous and hence advisable,ٹ ھ ی ک   ہ ے,7,Medium
کاسمیٹک,cosmetic,serving an aesthetic purpose in beautifying the body,ک ا س م ی ٹ ک,7,Medium
پینٹرلی,painterly,having qualities unique to the art of painting,پ ی ن ٹ ر ل ی,7,Medium
مدافعتی,immune,(usually followed by `to') not affected by a given influence,م د ا ف ع ت ی,7,Medium
طرز عمل,mannered,having unnatural mannerisms,ط ر ز   ع م ل,7,Medium
بے نیاز,unselfconscious,not self-conscious,ب ے   ن ی ا ز,7,Medium
بے لگام,unstilted,flowing naturally and continuously,ب ے   ل گ ا م,7,Medium
رضامندی,assentient,expressing agreement or consent,ر ض ا م ن د ی,7,Medium
خوف زدہ,alarmed,experiencing a sudden sense of danger,خ و ف   ز د ہ,7,Medium
گھبراہٹ,panicky,thrown into a state of intense fear or desperation,گ ھ ب ر ا ہ ٹ,7,Medium
جارحانہ,aggressive,having or showing determination and energetic pursuit of your ends,ج ا ر ح ا ن ہ,7,Medium
مسابقتی,competitive,showing a fighting disposition,م س ا ب ق ت ی,7,Medium
کم دباو,low-pressure,not forceful,ک م   د ب ا و,7,Medium
غیر سخت,unstirred,not agitated by stirring,غ ی ر   س خ ت,7,Medium
متفق ہے,agreeable,conforming to your own liking or feelings or nature; ; ; - Disraeli,م ت ف ق   ہ ے,7,Medium
لائیورن,liveborn,(of newborn infant) showing signs of life after birth; not stillborn,ل ا ئ ی و ر ن,7,Medium
خونخوار,bloodless,destitute of blood or apparently so; - John Dryden,خ و ن خ و ا ر,7,Medium
خود جذب,self-absorbed,absorbed in your own interests or thoughts etc,خ و د   ج ذ ب,7,Medium
انابولک,anabolic,characterized by or promoting constructive metabolism,ا ن ا ب و ل ک,7,Medium
تجزیاتی,analytic,of a proposition that is necessarily true independent of fact or experience,ت ج ز ی ا ت ی,7,Medium
اسمگلنگ,smoldering,showing scarcely suppressed anger; - James Hensel,ا س م گ ل ن گ,7,Medium
سمجھدار,sensate,having physical sensation,س م ج ھ د ا ر,7,Medium
بعد میں,later,coming at a subsequent time or stage,ب ع د   م ی ں,7,Medium
ساحل پر,onshore,on the edge of the land,س ا ح ل   پ ر,7,Medium
درج ذیل,following,about to be mentioned or specified,د ر ج   ذ ی ل,7,Medium
بے مثال,unprecedented,having no precedent; novel,ب ے   م ث ا ل,7,Medium
نامناسب,inappropriate,not suitable for a particular occasion etc,ن ا م ن ا س ب,7,Medium
اجتماعی,collectible,subject to or requiring payment especially as specified,ا ج ت م ا ع ی,7,Medium
اپروپوس,apropos,of an appropriate or pertinent nature,ا پ ر و پ و س,7,Medium
بے دفاع,defenseless,lacking weapons for self-defense,ب ے   د ف ا ع,7,Medium
میل گال,mail-cheeked,having bony plates on the sides of the head,م ی ل   گ ا ل,7,Medium
بے ہودہ,armless,having no arms,ب ے   ہ و د ہ,7,Medium
کھپریلی,scaly,"having the body covered or partially covered with thin horny plates, as some fish and reptiles",ک ھ پ ر ی ل ی,7,Medium
فن پارہ,artful,marked by skill in achieving a desired end especially with cunning or craft,ف ن   پ ا ر ہ,7,Medium
جوڑ توڑ,manipulative,skillful in influencing or controlling others to your own advantage,ج و ڑ   ت و ڑ,7,Medium
لاپرواہ,careless,effortless and unstudied,ل ا پ ر و ا ہ,7,Medium
بے آواز,speechless,temporarily incapable of speaking,ب ے   آ و ا ز,7,Medium
بے ہودہ,unabashed,not embarrassed; - Jerome Stone,ب ے   ہ و د ہ,7,Medium
دعویدار,assertive,aggressively self-assured,د ع و ی د ا ر,7,Medium
زور دار,emphatic,forceful and definite in expression or action,ز و ر   د ا ر,7,Medium
اشتہاری,advertent,giving attention,ا ش ت ہ ا ر ی,7,Medium
درخواست,solicitous,showing hovering attentiveness,د ر خ و ا س ت,7,Medium
